ICBC_APP_LOG_ERROR: script pgachild.sh corpnode_80.56.145.20 run error,0
ICBC_APP_LOG_ERROR: script archivechild.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script archivechild.sh tokendb_80.16.145.116 run error,0
ICBC_APP_LOG_ERROR: script archivechild.sh corpnode_80.56.145.20 run error,0
ICBC_APP_LOG_ERROR: spacechild.sh corpnode_80.56.145.20 run error,0
ICBC_APP_LOG_ERROR: 80.56.145.20 has been restart,1
ICBC_APP_LOG_ERROR: 10.255.65.1 MIMSDB1 process resource usage high now 100%,3
ICBC_APP_LOG_ERROR: 10.255.65.1 MIMSDB1 process resource usage high now 99%,3
ICBC_APP_LOG_ERROR: script archivechild.sh MIMSDB1_10.255.65.1 run error,0
ICBC_APP_LOG_ERROR: 10.255.65.1 MIMSDB1 process resource usage high now 92%,3
ICBC_APP_LOG_ERROR: script sessionchild.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script undochild.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script freechild.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script lib_cache_child.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script dict_cache_child.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script buf_cache_child.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script pgachild.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ERROR: script archivechild.sh idcard_80.16.145.6 run error,0
ICBC_APP_LOG_ATTENTION: 80.7.83.39 monitor database now share pool size 278M free size 32M,2
ICBC_APP_LOG_ATTENTION: 80.7.83.39 monitor database now share pool size 278M free size 31M,2
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.1%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.3%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.4%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.5%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.8%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.9%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 86.5%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 86.7%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 87.1%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 87.4%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 87.6%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 87.7%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.1%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.2%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.3%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.4%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.5%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.7%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.8%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 88.9%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 89%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 89.2%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 89.4%,3
ICBC_APP_LOG_ERROR: script sessionchild.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: script undochild.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: script pgachild.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: script freechild.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: script buf_cache_child.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: script dict_cache_child.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: script lib_cache_child.sh mccpdb_80.25.30.115 run error,0
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.3%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.4%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.7%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.9%,3
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_APP_LOG_ATTENTION: nportalc no avaliable online log group,4
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.1%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.3%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.5%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85.7%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 86%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 86.3%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 86.6%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 87.1%,3
ICBC_APP_LOG_ERROR: 10.240.34.155 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.153 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.147 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.149 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.150 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.152 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.148 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.157 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.158 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.159 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.156 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.154 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.34.151 has been restart,1
ICBC_APP_LOG_ATTENTION: NETCOOL no avaliable online log group,4
ICBC_APP_LOG_ERROR: 10.240.50.147 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.151 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.149 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.153 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.155 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.152 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.154 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.150 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.156 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.158 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.159 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.157 has been restart,1
ICBC_APP_LOG_ERROR: 10.240.50.148 has been restart,1
ICBC_APP_LOG_ERROR: 10.255.65.1 MIMSDB1 process resource usage high now 93%,3
ICBC_APP_LOG_ATTENTION: 80.7.83.72 truth database now share pool size 928M free size 65M,2
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_APP_LOG_ERROR: 10.243.17.151 has been restart,1
ICBC_APP_LOG_ERROR: 10.243.17.161 has been restart,1
ICBC_APP_LOG_ATTENTION: nportalc no avaliable online log group,4
ICBC_APP_LOG_ERROR: script sessionchild.sh WAPDB_80.16.161.85 run error,0
ICBC_APP_LOG_ERROR: 80.16.161.85 WAPDB process resource usage high now 99%,3
