应用名称,EventName,事件名称,主机名称,主机IP,事件级别,首次发生日期,首次发生时间,最后一次发生日期,最后一次发生时间,报警次数,报警地点,事件摘要,事件关闭类型,事件子类
防病毒系统,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.35.83,五级事件,2018-05-02,23:10:06,2018-05-02,23:10:06,1,北京分中心,ICBC_APP_LOG_ERROR: 80.7.35.43 has been restart,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:13:36,2018-05-03,08:58:12,118,北京分中心,ICBC_APP_LOG_ERROR: script undochild.sh capacity_80.7.83.102 run error,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:14:36,2018-05-03,08:58:12,142,北京分中心,ICBC_APP_LOG_ERROR: script sessionchild.sh capacity_80.7.83.102 run error,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:15:36,2018-05-03,08:55:42,59,北京分中心,ICBC_APP_LOG_ERROR: script lib_cache_child.sh capacity_80.7.83.102 run error,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:15:36,2018-05-03,08:55:42,59,北京分中心,ICBC_APP_LOG_ERROR: script buf_cache_child.sh capacity_80.7.83.102 run error,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:15:36,2018-05-03,08:55:42,59,北京分中心,ICBC_APP_LOG_ERROR: script freechild.sh capacity_80.7.83.102 run error,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:15:36,2018-05-03,08:55:42,59,北京分中心,ICBC_APP_LOG_ERROR: script dict_cache_child.sh capacity_80.7.83.102 run error,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-02,23:23:36,2018-05-03,04:03:39,15,北京分中心,ICBC_APP_LOG_ERROR: script pgachild.sh capacity_80.7.83.102 run error,已关闭,Log
防病毒系统,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.35.26,五级事件,2018-05-02,23:25:06,2018-05-02,23:25:06,1,北京分中心,ICBC_APP_LOG_ERROR: 80.7.35.26 has been restart,已关闭,Log
防病毒系统,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.25.254.60,五级事件,2018-05-02,23:25:06,2018-05-02,23:25:06,1,北京分中心,ICBC_APP_LOG_ERROR: 80.25.254.60 has been restart,已关闭,Log
防病毒系统,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.25.254.61,五级事件,2018-05-02,23:25:06,2018-05-02,23:25:06,1,北京分中心,ICBC_APP_LOG_ERROR: 80.25.254.61 has been restart,已关闭,Log
防病毒系统,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.25.254.71,五级事件,2018-05-02,23:25:06,2018-05-02,23:25:06,1,北京分中心,ICBC_APP_LOG_ERROR: 80.25.254.71 has been restart,已关闭,Log
防病毒系统,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.25.254.70,五级事件,2018-05-02,23:25:06,2018-05-02,23:25:06,1,北京分中心,ICBC_APP_LOG_ERROR: 80.25.254.70 has been restart,已关闭,Log
电话银行中心,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.32.225.76,五级事件,2018-05-03,00:55:07,2018-05-03,00:55:07,1,北京分中心,ICBC_APP_LOG_ERROR: 80.32.225.76 has been restart,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-03,04:23:39,2018-05-03,08:43:42,14,北京分中心,ICBC_APP_LOG_ERROR: script pgachild.sh capacity_80.7.83.102 run error,已关闭,Log
手机银行,ICBC_APP_LOG_ATTENTION,ICBC_APP_LOG_ATTENTION,hostname,30.16.145.81,六级事件,2018-05-03,04:25:39,2018-05-03,04:25:39,2,北京分中心,ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,已关闭,Log
数据中心(北京)-开放平台监控数据辅助采集工具,ICBC_APP_LOG_ERROR,ICBC_APP_LOG_ERROR,hostname,30.7.83.102,五级事件,2018-05-03,06:16:40,2018-05-03,06:16:40,1,北京分中心,ICBC_APP_LOG_ERROR: spacechild.sh capacity_80.7.83.102 run error,已关闭,Log
